Ciphertext,Algorithm
 ZYCSXNIJXDXFNLXMCVRV CKACQGUAJSHBV PFYJAWRZSOQBUDQ KWYKMNPFTVQKKQLBWZYIU KPBUBRNOJNCOLPTBSOBCFUABFVSKJUOHFILKYZKFEEB,PROGRESSIVE_KEY
4515-22-44344435-14-4442-51-5511213543.53-52-13-14-4311-32-1324.254453-224132.54.23- 23-33.51-14.15.33.22. 23.3541-51.55.54-3123-13.11-13.54.4541-35.44.525421.5231.43-52.13-23.3334.5534-52-23-44-61-21.12-15- 3415,POLLUX
MMVAUHQSFCSIGXKQBKTSQMWPOMIKDAMZFETMAM STFQZVXGCKPWUZDEPVZRAXP OAM DDXNCJHCDVYLNPVPADUYBPXKZOMTWGZJEKDGGBIWRBZQTSCDL,PROGRESSIVE_KEY
51-2324.2244.21-61-31-12-13.43-32524241.3322.13236153-61.54.14-61.12325525-25-1325-33.2411-32.5161-34.1454 35-14-135234-22- 32121232.14.14-15.1232-15-44.3232.61-13.32.55.23-44-5234.52-442555-1142-3554.44-55,POLLUX
JROWLNMHQZNRVMEGEUOUFSXNUISXGZXBGMXKVBWNKGCLTVZIPIXBGMRLAPXSKEZPFJSGWAB VUDHMWAMWTTUO QLFUOIVONQTHDPMLGHEZIYBQSFQZE,PROGRESSIVE_KEY
454161.55.21-15.323414.22-522154.61-2461.33-61-5261-34.13-45-32-52- 5413-2212- 4342-14-24 14.14.12-45-55-51-54-34-3334-14.52.552334-35-45.3132-41142331.41-53. 351133.61.5544-2221.41.23.54-43-44-42.24 32-53.45.42-5224.35.,POLLUX
KFXEROINNKCQGQSJTKOPSU NINLQCIHNQMSV VDSH ABQN JPIX AIKDDHNHJ DYRIKTHOHBSFRYXNDLYPZFKMUUKEXJISKVWM PYLVQEAYTBLJWEVQBAA,PROGRESSIVE_KEY
5523.23-14.31-43.21.44-433435.61-43-35.33-253453.22-24-13.25-12.41-1221-33.22.25.22-41-55.13.21-32-51.14.31-44-25.54-41.3321-51141132.15.55-44-43.44-44.44-1525. 34-55.24-431315.1161-35.15-3224.3445. 12. 53-23-22113342-,POLLUX
ZDDMXKCHUV DXZHJUGMNHROOAKMP A NO TZYFECPPNQVDELDHXVMCHXTEFIHKAJVQDMVGVOJAQFGVTUCZLFAMMMSYZJBHJQTMJIASJVQMCJHCZVCQWLRGKZNR GFDQDURZTNXTS,PROGRESSIVE_KEY
55.51.3334.41.13-4232-11.12-1235.14-11-45.2424-1532-6123-22-32-21-31-52.4232.1451.21-53.44.6113-61-41-24-3415-31.24-2213-61.21-5421-1331.54-3254- 4221-35-24.21-12.35.23.4231.11-43.23-52-4354111441.35.22.25-23. 22-54223321.5312-21-,POLLUX
WUOCMQYPJVBPSMYMWABJUPHVTMEWPBOAKTOEJJRJUIANJ POIXIG MQHBABYJIDVEXBEIHWM JNGTWSGDFQIQYHENLICHXG AYKHREJGPPUIMVQNTPQHDT WZOSLGIUP OYDELKSAGJMOEYCWD,PROGRESSIVE_KEY
5145.2254.11-4312.22.33-4133-5431-32-52-25.21.55344521.45.42.5254-11-35-44.33.25.33-11.3435.25-614445-34. 21-25.31.41.61.5361.61-45.54.3342-43.32.22-53.14-44-5314.45.35.155331-5321-45.23-35-55-3231-32-1123.52-5514.1113.,POLLUX
VYZBZPZMPDRWUJBCYYENOLWDVRZVKCKIQUMJIGRHLNCQVRFYNB YXAPSGSYYUXZG YJHEZXG KOMXHGRMLJUOLKNXDEVOFDZ JOWMYLDGEPEBTQUEBUCJIQUE,PROGRESSIVE_KEY
11-52.32-21-33-1443-52352131526122-5123.25-53.4112-44.53- 2323.33-31-61.42-45.132261-51-61.4532-34-35-14.5145-43.111232-13-53.45.5455.43.5541.12.34-5124.32-54-25.35143333.151332142353-35-41-12.2244-35415512-11.3325.22.1524-2224.33-25,POLLUX
BQFUSHYQRQCCUZKRFBJQUCDKMTFDLKZIQTMCLBPWMCPXOWJUB FCQPADYGHJKH GCLPODGRNAWRNTFZNSUXR AZMABKRFEWOSLYE YOJBJ,PROGRESSIVE_KEY
1515.41.45.25.44.41-5261-14-33-61.34- 5513-12.61.53-42. 53- 13.21-33-256115-23.1143.52-322324.44-42.25.33.35.1222.2133423515.21.1425-1225. 1313-33.45.11-22-22.54.13.61-24-24.23-2541.14-42-35-22-42.41-11.55-341144555222.33.14-2515.2545.11.3351-61.54-,POLLUX
UGIBOWVYIZWHAWWNPAKVJIOTKPELJ SLGEVXSUSFQBNYDJWOSGLIOFAXIZZXT JGBZRNSLTYDMYZTMKIONIQONHFHOKDRMUNIDBTQP,PROGRESSIVE_KEY
12.53.53.45-21.2423-51.22.12224232.11.25-23.55.35- 32.14-43-33-61.3443-25.43-34-54-45 3331.14.531432-55-2154-13.2421.14-1553-12-54-31-5153.2114.4443-5461-143122-321151-24- 53-15.54.51-14-14 53-3314.15-35.2225-5242.,POLLUX
 XEWOIPS VVPCSLLHWBKWOCPT DKRPTXUJEVGUMJEYOFDUZIXKRHKFZSZRUMYGGFEGHOKYESNSNHL XM MVKHRUFNPDQNEJPVOJIQNQRDGMQLDSHCMCEHRW DACO SXEIICFPHKYHT QYG,PROGRESSIVE_KEY
23.232435-55-5222-21-3115-45.13-5342 45-6112-14-51.53.32-2341-1522.33.54-4433-325245-21-6161-424314-12114231.2451.43-4151.31-13 1212-34. 4215-45-25.111434-52.11.53216115-53.41-31-211321. 3341-3131.5352.14-4412.61-341554-22533545-2235.4411.13-43.55.53,POLLUX
Q MZQHMEUHVENFPAOPRWVCCPOOLGGLRIPGCZIINNCOYGDTCIPYMVQHSDCVRSCWPGOURXGIKIAWKCUXNNBUZFY EDYXCXF X QQMTLSKWEZEGFEQGCBSRMXBRPBWPUFFIOHDXVA ,PROGRESSIVE_KEY
61.4135-4143-35.4313.23445245-25-33.32.53-12-23-2243-23- 454531.53.54-24-3545.1344.14-44.12-14.32.4231-54.45223242-42125313.61.151512-53-52.52.31-51.1132.521531-415332.251355-12.43-22-545252-2352.3224.33.123323-3554-33-51.25.,POLLUX
TFTHPYUXXPHURE YCGLY HJBQJZQSHFLBDYCTDXRVTDZS GGZWUOESMZTXFMEBLUXPIJADBJZBNKTKAYTDHRJHQDGP AFGHRTLNBAHIAOIKZMTQVCZSOBIVZAA,PROGRESSIVE_KEY
45-33- 23.24.34-43.32.14-35-25.33.22-422515-33.11.31-434454.45.11.61.14-5161-54-44.3561.14.41-33.41151114.53.5412-15-24.24-15.23.1331.45-44.22-2561-133342.52-12.1251-44.35-42.136111.52-44-2245-22.35-35-15-43-22.3244.34.51-5513,POLLUX
HLW  HPYRAWOXJTTRNIXQGQSLAOJDJSMLQSPORVRUBPEOVUGRIUAYKPHBYXHLMLHDRJHHGGPXEO YUQQUROOIYQXCDY DDAYLPTUNYQCCUVXOZRNFYYUUUSPZBTHT,PROGRESSIVE_KEY
55-35616135-52-5452-14-41-55-3531.12-3521.15.312115-21.61.13 11.51-22234252-21-5455-2411-2512- 43.24-21-41.1141.2413-41.41 14-31343234.1133-15-33335461.34.2161353442.5553444114.24-32.13.13. 153314.15.53.5524-51.54.5321543243-5525-,POLLUX
ZBDKJCSWZBPLBPMQPDFNI FSMUECESBZCFXZTXDMCITAXNQUJXCIQKEN NDGRBNXWRUCRUEWLHQS C RHXCQNDCHJKFLAIYOQRNZHMTSW MFCCOMQSTBHAEELEHBZJYIXZSKCINSMFGXLOQY,PROGRESSIVE_KEY
25-54.5352.52-15.15.34-3461-15-233241-1512.54.61.43-21.51115231-1551-13.51.44.55.3422-52.12.51.1423.242525.41-43-1521-33-32-34.51 111325  1231-1342.2221-13.33.52.21-11-4523.15-535222-35.44. 3421.34.15-21-35.31243221-21.45.,POLLUX
NJKMEYSCDDNLY B ZYQNOQHAZXRYGQDLBO GAOFSVTTE JFAQITUBVI VARHNUZJTATUKBDVJPJOFNAGIKYYLDTORIKZNJHDBUIWIGR,PROGRESSIVE_KEY
3334.24-23-23.51-34524415-44-43.222341-5113.54-5111-2345-35-512311-32-53. 45.34.21.3312-41 5161.1444-524243.432345- 4124-3144-44152423441351-34.15-31.25-441225.11.33411533-44-433544-12.51-4354- 51.44-32-5352,POLLUX
CHALVVHIMPTVAJMSGBCF SZCKQICJOKNKIIP  DTUGKXDGIZXEQEERAQGEUJKRJCMDKWDRVINUWUQZSXRRZWZMWHQEYJUNAWAOHIMGTGLBMCQFQOTTPLLIOOBMBXJZFGXIOMDTXOIQY  QCSEJOYCB,PROGRESSIVE_KEY
61.24-5235255342-21.2524-12 11 3425.35.33414142-342215-21- 13.3224-245261-2514-35. 41.1122-5313-6135.5541.253361-51-33-34 3453.45-52.255334-12-5143-21.54.611123-41.42.15-35-1124.61-21-61.45-5144.3131.21,POLLUX
ZKWFGYZQJZGKQCNKEXCRPSKXWCIJPAYOQ AIGEJCAHKIBRSFRAUCUBGRMQT GADSIDAXQOVO ZQDZUCGUGQDNXPVWRDJBFTXOOWPNSJSVKPVMEO,PROGRESSIVE_KEY
42243425 4133.24- 41.61.24.24.22.52.3132-45-254244-13.23.1152-11.1342-23.2232354441.32.55-4261-3133.45-13 15.43-42.4135.355545-12.5215-313452-51-11-41-41-45-53-54-44-34-2213-33-4255-5511.14-32.4122-33- 25424225-11-5112.24.45.2413.54.14-35-51-12 ,POLLUX
DVVYKNDKXASJMCVJYTZIGBLCMBHXLJBYGMGPPVVRHIQKEYNKLKFACMVYGLWZWAKJLHAJUSAWFWPFNKBLDJCKPAQYRVEE GYJJBKYVVMKOKTFDEDBYEEBDMXGQUCGXOFDXOPCZTAES,PROGRESSIVE_KEY
124523.35.32. 61-15-52 12.54-14-61-55-32-15-14.11.53.21-45-5425.53 25544232.12-43.44-43-334251.41-35-25.4154.3513-51.21.51.3445.15-55.11. 55-22.12.145114-21.1224.53-52-1561-54.3144-34. 51.25.54-54.25-32.22.42.13.3523-55-1112.41-24-,POLLUX
UQJLKQNAIJAHMOPLFUGPJKIIDWLZGOCWBTJXHROHSG CIQPERVFBAP JLHFIVBSPOCFXOGYFVEEPEYKREJCI EONORDJMLHZTSALJBRD SMRXNTPABKHTDYQKXJTKEJPMVBMDMSZTHIDZIZXI,PROGRESSIVE_KEY
2151.55.42-21.121333-52-42-12.11.42-2321.115115.42.14.43-42-21.52-41-3411423361.324541.55-53-13-33-313232-11.51.53-53.13.21-51.32 61.4411.21-3555.6152-44-2245.13-51-1151.113513.44.13.11.12-44.32-12 34.13. 43.3131-5532.23-2351-11-1415.24-33-41-53,POLLUX
KH JIZUOCTTZZMYISIBEJWTQRYATMAIPSESKSGFBQGXCMVSXOGVQAUEJDYCGKCLWMDQENFCJEZWMVIEOQ LQMXBIMUXAQA JZWOHQBHOIHRTI L,PROGRESSIVE_KEY
42.41-34-11.31-35 15-1222 53.4223-3111.54.44-22-33.31-6111.6114-31.23- 61.41-3252-14-42-35.45.35.1424-45-3511.54-14-44-24-4524.5121-4222.2555-13.434434-5123-25-54.3343.  61-25-323242-15-441244.5443-43- 1153-35.53.41-43. 54-34-15-,POLLUX
ZNZIDNXILLPAMICNLZAAB BEENPKDQI OUTPCIINQDJKWSKKVKDCCBFDJSDNUDPNKQOLZXLYMTSLUFF VEOSCHOBNLVJXZHVDPDIFUTZFKHG XHZRKTUYD,PROGRESSIVE_KEY
22.52.61 5324-223433.54123344.51-23-3514.54.3532-41.41. 554154-55.13.35.5213-43-52.35-5114.14.554252-3222- 31.22.4223-52.35.4241.33.11-5444.243414.123554-5332- 5422235444-6142.22.55.13.61.21-41451353.6134-41.3131.234144-45-52-13.33-34-15.23.44.22-13.41,POLLUX
YXYUKTMGKRACLXXYWQTTLIPFSRKFMQKMV TDXQBP RPKSETZYV G ZDKJKQNMXAYQTNTD VZLP JBO RBNDLSTTLAZKEASV XBENTZ,PROGRESSIVE_KEY
54.213331-13-23555154.413431-43-6151.45-24-22.5221.32.13353431 5443-33-135551-23.13.52.1225.41.324124.52-13-14-2421.32.41.45-31.21-13-15.4551-35.52.2424-4154-42-51.21-221151-52-43.3212-23.35.35-3551-55-1114.14-24.1511-45-,POLLUX
LHVXRIUVMJHUNEGXOEIFJGPER GXQWMVRVOVJFIOOLDYOYXMOMLYVZJUOKLQIBERJPPVQTXWZKHCDYCEAEJZSKQXUZKPTCLGDR UJJEJAEMQ EOUFJISXSOCMADLHIMSDNCEVDSHTSPRQR YZLJC,PROGRESSIVE_KEY
31-23.34-25-22-6124.35.3144-45-21511211-2133-1341-34-44.23.21-2442-33.23-54-41551154-11.14.3352.5222-45-32-22.35 43.53- 53-4223.4152.35-14-511444-121312.34.524412-22.5355 25-14- 44-4412- 5435.52.45-3241-1511-15-11.34.43.21.15-35.,POLLUX
LGSWJ NESOUTMPLSFLASEXNRC FDBKQWTJKI TSIXVXXMWDXV DTY XKH XYCGVHMEBMGCAZTWDMMBJ NLYBMJFZAYURXEHIVMRTIPPJ AJJXCWNS FTJQEBSR MKFPBKXRRKMFRDEYE,PROGRESSIVE_KEY
54.11-23-23.3251-5142-22443113-31.51-5225-54-43-245545.42. 24.34.31.11-22.145555-343161-32.52-233122-52-31.25-55-31.425353.15-23.425333-3323-42.3211.42.34.24.15-616155.53 2213-21-61.25-22312114-45.23.34.55-21-24.3413.35.45 55.444245.521231.2561.25.61-61.53.,POLLUX
LXBQSXYPSJGLO QCRGML MTEYRLJIMBBPHBRRQCOSANIZDEBTLRLGQCCXAOXNFZWZGVBYEDENADUALHAITFMJNNODIOBRBCA QPYEPYHWFRZRERWBXRMIKOCTNSLCSNDQRSLVRMSTCJJWHV,PROGRESSIVE_KEY
3123 33.5115-12252133-43-61-15.35.5452 2115.33- 11-45.55.24-445122-135552.2552.5422.31-1413524333.15-51.3133.12.21-411133.32-25-3552-13.11.4223.32-2535.1345-521221.2441-41-61-14.6132-35.3314342312-13-4415-14.42-41.2413-,POLLUX
WRGZAKJYXTKENQTEP REYSTSA RIKCSGJPA EQNBTVHKBGNRYZ MIPJPFXIYZAJXXBHWEGYZKMSKXDWKMTK HVDJE AJ RIOQEOZH YXEUJNRFDQQGLNLC RZZXMRLVXFS ,PROGRESSIVE_KEY
35- 34.12.45.23.41- 35.1161-42.1152.43-1251-14541312.61-14.44-53.5422.2222-5343.3144-43.34.22-55-2423.43.43.34-44.43.11-45.31.42122442.41-41.41-122455.13.25-23.1442.3221-253355.23-53-3114.32-14.43-12.543355.5433.1521.,POLLUX
CIMUPCGDWLYSWLYZGCEMNVFRWYBJJDTGPFZAKXARDRQALBZWLMFS FMKUGAVWXUUJTTONZDKVXYLMTBW SOTMX RAKEBJEKPWWJD ABMHEBMZIV OKQZMMTVZADKHBRCUWJYGPHZRDSJRSKIPDH,PROGRESSIVE_KEY
122455.5545-3215-1551-54-15-55-12-1134.51.11-6131-44-4443.52-35.11-12-6113-41.23.32-24-14. 1411.25.55. 4352.61-51-2133.2232-32-1512.61.2111.12312515-3215-11-5314.52- 34.44-12-52.44- 4111.4144-42.315454.44.13.15.12.22-1344- 542261-41.,POLLUX
BXQYBD BWVDDONXETMUFLFCERPIMVNAJDDFNDYNPORTDZWALATW ARMTDEGIMLBAPUCWUKXOVBYDRCKDDONELEXKPDNWHCRNBHJRTLDNJJ GNZFEAD GOTCDQPJCOHRVLFISHOMVDNYYKAKW,PROGRESSIVE_KEY
52.1413.61-61.123513.54.31.53.3342.13.61.35.42312455-1315.3224-5342.43.54.22.15.23.31.42-2444-22-21.4412-43.44.42-25.53-33.2142125143.4131.1255. 34-45-22-52.32.25-51.21.14-32-1333-1454-31-13.411524.31-4423.32-44-31.41.53.12-41-455323.45-4232.4231.55-35.22,POLLUX
 FRQZHZCDVEXFR IPECMQGXIXWGKBHM ONBNFUPCFVMKTHKGQVWEYXXAOJODBRJKZIGNCSLLFGZQDBYSSTYLD JTHKETURPFLMSFHYNPMLDRJTWERGBKKCTJ ,PROGRESSIVE_KEY
61.22-13.11.12-44.53.23.15-3531-14-34- 31.42-21.61-35-11.23.2512. 22-5122.41-3332. 415513545433.45-21- 61.25-34.55.3531.11526123-51-15.52.42.43-11.3214.5252 225343.1432.35-13343132-31-31.55-12154444-25253114.54-2441.32.3331.53-,POLLUX
JQCKJUH ESIECFOBVUAIGSNEWLUZXNAYFNTOCGJETVWCAAYILOZZDHSGQLUYOZYMXPJWTMKAFKCZDSNZMLUKHK ATJXAQQKUGEAYANHFUIJRFP,PROGRESSIVE_KEY
21225324-31 61-51.4311-21-2222-42.41-14-1255-54.32.11.13-22-3213.52.33-51-11.14-123542.433445.44-5311-51.2122.514222.31 32- 43.5444332333.15-1434-31.112241 2454.44-35.31-41- 153352-53-555251-11.5532-1333.33.34-13-43-51.22.53-4324-12-33-51.12.,POLLUX
NSMLGBZODTYPXTTVDDTZDTWNKPWQLB HHMLMYVLRMBZHBLLIYQWUIODLKLEYMDJXMXA RVSFDPNC KOAMFREIOMRQHYDKBIWMSMAZTTWQMRJBS EAVGWNKIAOB MWVSQRUIBB SRMMMAAAVMWW,PROGRESSIVE_KEY
14.25.12-22-12-3113-45.25.5142.24.55-52-4253.13-22.41- 11.31.23-33-35-61.5355-13-34. 15.44.24.51-11.53.1333-32135323.3122.22-413144-13515535.6131.53.22314512-51-32.25  61.215213.4144.231252-5553.5345-2232-13,POLLUX
POBABWAKBHUYDGGZBE STVYYAKTCJYGTEBRVIXRWVKRMADTJNRIEGPMSTVEORKQJNBHEZUASHAYMDELHUHFBWCGCEBQ XNYLFCNJUNJZNVFQIYCOP FZVWVSOVRMDJXPDHWX,PROGRESSIVE_KEY
5554-531414-5553.32.24.334354122532.1552.231122-12.133442.52.22.12.3313.3454-21.25-53.22-5312.35.25-5555.14-55141453-55-1341-45.53-1412.252513.5225.4214-45.52-532553.23.23-14-45.2331. 1424-34.44-24.44-4134-33-13-12.44.245233.,POLLUX
JWG YDAGBTXCN TEKOZDIGFUSCIRMUZTPEHNVJWIK MHUIHLQTDTANVDWIGOHYBIDUBBP UHPFVPGDBJBVX  XUHTHVEWTJAFBZDQHIDLJYXK,PROGRESSIVE_KEY
5225.1542.52. 34-15.25-12.14.52.55.2231-32. 43.25-12 13.54.33.2411.52-55 4111-35.43.23-25-12413121-5222-43-1355.54.32-12-45-25523143-14.14-1221.41-52.4343.31.41.12-34.3155.55-53-1122-41-42-54.314453535454.32.61.55-55-42-25,POLLUX
VWUIRKLUKACZ DBHRHIVQYJI VFYBCICCBTJSYSOCPBKCPJTPRGKLGROGRQHAQYUNVIBRYTHGWDKKAZHEPKKZIT QIQET XDUUMHYIFT Z,PROGRESSIVE_KEY
4542-4231.53.2542.5553-51-2531-25-3235.51-24.422412.23.33-616115-4521.45.13.12-32-54.44-12-55-13-123352.51.52.21-35-3515-1214-3242-24 1154.41-22.11.23.13.5135- 43.4121-15.12.42.41- 35-535511-32143161.45-23-435423.41.13-14-4231.23-43-33-,POLLUX
FITOTQJYIUXSDDOFBZUJICSFTCITCILKNYAMFP XTFC Z IUKWTCYOCIBX MANCZBJMRWAI UUSWLBWNSK WEFTMGNNHTGUDPVMJNVVZUBCLE VZXCIMJOULJ GOPMJLGHMHSOPUVLINMDZ,PROGRESSIVE_KEY
42.33.1355.24.12-12.14 45-5245.5445-35.41-51.12-45.3114-5432-14.54.5133.41.34-4551-51-52.11-13-35-5561.133151-1114-61.25-32. 6132.54.61-11-5352-45.1442.15-54-41.11-31.21.22.61-14.52-25.1432.2535.41-5234-52.4432.35.12-12.,POLLUX
UZSXWZXEZOEIHQARLCKWILS QVKXCPFZKLXTLWYCMN MZRSIHJLEFGYKPCLCBOVDYTYCIGZXXBDVMTKWGMEWGNVQOYBFL FVONAJGQTCNFHXIUUEJGQQ,PROGRESSIVE_KEY
41444411-44.42-11-35-32.61-4321 4243.41-14.12.61.11-14.35. 51-34.31.15.21-35-35.55-1354-44.5411.54.44-32.33-2554.53-43.11.34-22-12-52.34-44-54.34-41.325352-11-15.43-44- 3153-15-31.341554-6113.5325.5511.22.4352.35.122255-5412-14.41-52-41.2141-24-52,POLLUX
XF SJ PHPTIBIEHYOWIXI LXEBZBVRKFLKFTSOMFHGMPMDTEJYDIORKBLBJHLIYVANNEY NASCMOWOVPBMRUBYPAGMAES QUBGMYDWDKK QTLKNQW,PROGRESSIVE_KEY
33.31.3535-13-244342.32.42.4314-11-21.34.112211.22.32-35-52.23.3411.4212.23-13-33-31-45.14233423-4361-25323161.23-23-14-31.5325.4334.45-44-51-55.3333-6124-12-54.23.1551-22-52.3413 6132-4425-31-2415-43143321.12.21-32-52-61-61-52-44-34.23-3515,POLLUX
CLRLYRKRZBGITVRXCCGEIWZYPGSGYSLCDXXKVYC ZGCPOOQSHTGUEFVGTVBJKCACBJTEQBBPQCTEIFXFBFJFMBXD FW LTCJXTSRCMIGRCBCGSZWWVVMUQXMCTQ HGCMQGYVNUJTXEHSH,PROGRESSIVE_KEY
21.25-25.346132.3125.24.25. 14.33-33-1452-11124241.21.12-32.44124545-43.42-61.45-15.45.5223-5554. 61.1424141553.21335141-543231-221141-24-44-52.44.32-24-52-61-12-4215.24-33-23.5551-51.61-43.4124.3244 41-25.554423-21.42.11-15-43.2414.51.34-4324-5512- 54-,POLLUX
PTFQHWFJOXVGIPGC DRZLHMYOYASMWXUKTOVHODQFBBRIGUQSLSVXATHSFSZKSINMU SKHNMXNRLDMQFAEAQIDA EBPNTZNIVALQWLBOXN,PROGRESSIVE_KEY
246111.1354-33-45-5154.25.4442.222533-5213-455125.31. 25-25-34424422.5131-34.521522-43-61-61.43.45-11.1344.5435.42.43.43.44- 34.12.13-44-1145.42-43 14.45.351223-15-43-2214.4323-14.22-54-11.5325-222321.5122.22.211141.11-35.34.4235.12.51-,POLLUX
X UGPWKOW YHIPYRJTDCSREITGYQCURQPHCLTKUFTTLPRJB JRSKBRTZKMDXD PBDE ZGWRKHTUGTIIZDIHPOLINWSRWUYJYBUQBOLIAPDKRJNXDQRIJW ,PROGRESSIVE_KEY
23 61.35-2151.554454-24-14.1213-2243.52-52611341-54-24-23-5541.23.15144411-34-442413.3123-22.54-52-133433.3315.354512-1533-23 5551-25.341352-3211-1361.13.3355. 4161-11.21.45.4521-14453212.44-22-54.43.3521-51.42153441.34.2114.,POLLUX
TJQEMQRX ZCFFRYTDYTDEKNJTQBUTFPUMQPXMNHRAXETUGKWNUSLIVEPFMKSSKWV VRIVCOJGZYQECNTZALNUOS HMRFBCS JMQGPEYJJNNNTFWJZFCYLHKN,PROGRESSIVE_KEY
5522-24. 41.2525-21-44.12-2513.13. 23-34.33-41.13.51-6144-34.51.4322-21- 3243-11.2434-4142.45-35.33 24.5315241313.23-25-61 35-52.15.11214342-3552-2211.42.145252.54-42-61- 5114.43-52.121221-31234431-54314411-54-41-13-11,POLLUX
DLTSBBEFUOK FZOTUAOKXPD XLAKGVDCVBC MMGEFTEHADIIANPTINDMVHHMXVNQMSGTNEQWNHMEJWGFRUEAFFLXMWNVMFHCDHHICBYNEOBDKFYUYZWLYAPLUQHDYCCDO,PROGRESSIVE_KEY
23.1115-4414-42.4411-31-15.3351.22-14-12-43.15-61.13-51.45-13-12.13.13.4454-61.13.2344 6153.43.5325.4113-1334-42-54- 33.22.6134.23-421153-4353.24.31-13.31441345-25.113461-1445.42-4433-55.5211.11-2123-31.54.5132.53.24.22.542314-11-4124-45.455361-43-54-35,POLLUX
GTE IMOLIJWAWHJXULDZZRZE MEKGHUHAQWHNKSKXTBLR JMW WSRARESGHX  QYZWV USZNCCXATPQXFFUQTEPJUVFQPLLYIABTFUWDGEJSBKHG LNSEQSF,PROGRESSIVE_KEY
